Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State, Federal, and Agency, 2019",,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,El Cajon,1,0,0,0,0,0,0,1,0,0,"103,686"
,,El Cerrito,1,0,0,0,0,0,0,0,0,1,"25,857"
,,Elk Grove,0,1,0,0,0,0,0,0,0,1,"175,492"
,,El Monte,3,0,0,0,0,0,2,1,0,0,"115,830"
,,El Segundo,1,0,0,0,0,0,0,0,0,1,"16,727"
,,Emeryville,1,0,0,0,0,0,0,1,0,0,"12,380"
,,Escondido,3,1,0,0,0,0,2,0,0,2,"153,215"
,,Eureka,1,0,1,0,0,0,1,1,0,0,"26,973"
,,Fairfield,1,0,1,0,0,0,2,0,0,0,"118,383"
,,Folsom,0,0,1,0,0,0,0,0,0,1,"79,927"
,,Fontana,1,0,0,0,0,0,0,0,1,0,"215,883"
,,Fountain Valley,1,0,0,0,0,0,0,1,0,0,"55,858"
,,Fremont,2,2,0,0,0,0,0,1,1,2,"240,887"
,,Fresno,8,2,2,0,0,2,10,2,2,,"534,285"
,,Fullerton,1,0,1,0,0,0,1,0,1,0,"140,194"
,,Galt,0,0,1,0,0,0,1,0,0,0,"26,796"
,,Garden Grove,1,0,1,0,0,1,0,2,0,1,"172,832"
,,Greenfield,1,0,0,0,0,0,,0,1,0,"17,809"
,,Hawthorne,2,0,2,0,1,1,0,2,2,2,"87,305"
,,Hayward,4,0,0,0,0,0,1,1,1,1,"161,588"
,,Huntington Beach,4,3,1,0,0,0,1,1,2,4,"201,843"
,,Huntington Park,1,0,1,0,0,0,1,1,0,0,"58,181"
,,Imperial,0,1,0,0,0,0,0,0,,1,"18,090"
,,Imperial Beach,2,2,0,0,0,0,1,0,1,2,"27,583"
,,Irvine,4,1,2,0,0,0,0,2,4,1,"292,673"
,,Laguna Woods,0,1,0,0,0,0,0,0,0,1,"16,043"
,,Lake Forest,0,1,0,0,0,0,0,0,1,0,"86,691"
,,Lancaster,7,1,1,0,0,0,1,2,5,1,"159,335"
,,Lemon Grove,1,0,0,0,0,0,1,0,0,0,"27,175"
,,Livermore,1,0,1,0,0,0,1,0,1,0,"91,418"
,,Long Beach,18,1,4,0,0,0,6,4,7,6,"467,974"
,,Los Angeles2,118,81,70,2,0,14,58,77,85,64,"4,015,546"
,,Malibu,1,0,0,0,0,0,0,0,1,0,"12,794"
,,Marina,1,0,0,0,0,0,0,0,0,1,"22,911"
,,Martinez,0,1,1,0,0,0,0,1,1,0,"38,692"
,,Marysville,0,1,0,0,0,0,1,0,,0,"12,572"
,,Mission Viejo,0,2,0,0,0,0,1,0,1,0,"95,453"
,,Modesto,3,0,0,0,0,0,1,2,0,0,"216,542"
,,Montebello,0,1,0,0,0,0,0,1,0,0,"62,650"
,,Monterey,0,0,1,0,0,0,0,0,0,1,"28,337"
,,Monterey Park,1,0,0,0,0,0,0,0,1,0,"60,424"
,,Moreno Valley,1,0,0,0,0,0,1,0,0,0,"210,979"
,,National City,1,0,0,0,0,0,0,0,0,1,"61,791"
,,Novato,2,0,0,0,0,0,0,0,2,0,"56,134"
,,Oakdale,1,0,0,0,0,0,0,0,0,1,"23,808"
,,Oakland,5,3,5,0,0,0,2,3,5,3,"434,036"
,,Oceanside,3,1,4,0,0,0,1,4,3,0,"177,129"
,,Ontario,1,0,0,0,0,0,0,0,1,0,"183,322"
,,Orange,3,0,0,0,0,0,0,0,1,2,"139,830"
,,Oroville,2,0,0,0,0,0,1,1,0,0,"19,268"
,,Oxnard,1,0,0,0,0,0,0,0,1,0,"211,349"
,,Pacifica,1,0,0,0,0,0,0,0,1,0,"38,938"
,,Palmdale,3,0,0,0,0,0,0,0,2,1,"157,138"
,,Palm Springs,4,2,5,0,0,0,3,4,1,3,"48,846"
,,Palo Alto2,1,2,2,0,0,0,1,0,1,2,"66,938"
,,Parlier,0,0,1,0,0,0,0,0,1,0,"15,384"
,,Pasadena,2,2,0,0,0,0,0,1,2,1,"141,913"
,,Paso Robles,1,0,0,0,0,0,1,0,0,0,"32,528"
,,Petaluma,3,0,1,0,0,0,0,1,3,0,"62,425"
,,Pico Rivera,0,0,1,0,0,0,0,0,1,0,"62,880"
,,Pittsburg,0,1,1,1,0,0,0,1,0,2,"73,637"
,,Placentia,0,1,0,0,0,0,1,0,0,0,"51,756"
,,Pleasant Hill,1,0,0,0,0,0,0,0,0,1,"35,125"
,,Pomona,4,0,1,0,0,0,1,3,1,0,"152,776"
,,Poway,1,1,0,0,0,0,0,1,0,1,"49,928"
,,Rancho Cordova,1,0,0,0,0,0,1,0,0,0,"75,869"
,,Rancho Cucamonga,1,0,0,0,0,0,1,,0,0,"179,247"
,,Rancho Santa Margarita,1,0,0,0,1,0,0,0,0,2,"48,377"
,,Red Bluff,2,0,0,0,0,0,0,1,1,0,"14,308"
,,Redding,1,0,0,0,0,0,1,,,,"92,009"
,,Redlands,0,0,2,0,0,0,0,0,2,0,"71,941"
,,Redondo Beach,0,1,0,0,0,0,0,0,1,0,"67,473"
,,Redwood City,0,0,0,0,0,1,0,0,1,0,"87,427"
,,Rialto,1,0,0,0,0,0,0,0,0,1,"103,965"
,,Richmond,7,0,2,0,0,0,3,2,0,4,"110,988"
,,Ridgecrest,0,0,1,0,0,0,0,0,0,1,"29,101"
,,Riverside,10,1,4,0,0,0,8,3,4,0,"333,260"
,,Rohnert Park,1,0,0,0,0,0,0,0,1,0,"44,131"
,,Rosemead,1,0,0,0,0,0,1,0,0,0,"54,489"
,,Roseville,5,0,0,1,0,0,1,3,1,1,"141,744"
,,Sacramento,1,1,1,1,0,2,1,0,4,1,"513,934"
,,Salinas,0,0,1,0,0,0,0,1,0,0,"156,943"
,,San Bernardino,4,0,4,0,0,0,1,0,2,5,"216,715"
,,San Bruno,1,0,0,0,0,0,0,0,1,0,"43,297"
,,San Clemente,1,2,2,0,0,0,1,0,3,1,"65,018"
,,San Diego,8,11,9,1,0,1,9,8,9,4,"1,441,737"
,,San Francisco,35,5,22,0,0,2,17,17,24,6,"886,007"
,,San Gabriel,2,0,0,0,0,0,0,1,1,0,"40,422"
,,San Jose,13,7,10,1,0,2,9,8,7,9,"1,040,008"
,,San Leandro,0,0,2,0,0,0,1,1,0,0,"90,297"
,,San Luis Obispo,6,2,1,0,0,1,1,2,2,5,"47,735"
,,San Marcos,1,1,0,0,0,0,1,0,0,1,"98,598"
,,San Mateo,7,0,0,0,0,0,1,0,1,5,"106,020"
,,San Rafael,5,0,1,0,0,0,1,1,2,2,"58,819"
,,San Ramon,2,0,1,0,0,0,1,1,1,0,"76,387"
,,Santa Ana,3,6,2,0,0,0,2,4,3,2,"333,664"
,,Santa Clarita,1,1,0,0,0,0,0,1,1,0,"218,103"
,,Santa Cruz,1,0,1,0,0,0,1,1,0,0,"65,263"
,,Santa Monica,1,2,1,0,0,0,1,0,2,1,"91,621"
,,Santa Rosa,2,0,2,0,1,0,2,1,2,0,"177,884"
,,Seaside,1,1,0,0,0,0,1,1,0,0,"34,036"
,,South El Monte,1,0,1,0,0,0,1,1,0,0,"20,852"
,,South Lake Tahoe,0,1,0,0,0,0,0,1,0,0,"22,116"
,,Stockton,1,2,1,0,0,0,0,1,1,2,"313,604"
,,Sunnyvale,2,4,0,0,0,0,1,2,0,3,"154,859"
,,Temecula,1,0,0,0,0,0,0,0,0,1,"116,630"
,,Thousand Oaks,0,0,1,0,0,0,0,1,0,0,"127,811"
,,Torrance,1,0,1,0,0,0,0,0,2,0,"145,183"
,,Tracy,0,1,0,0,0,0,1,0,0,0,"92,895"
,,Turlock,1,1,1,0,0,0,2,0,0,1,"74,120"
,,Union City,6,0,0,0,0,0,5,1,0,0,"75,202"
,,Upland,2,0,0,0,0,0,0,0,0,2,"77,398"
,,Vacaville,5,0,0,0,0,0,0,3,0,2,"101,147"
,,Ventura,2,1,1,0,0,0,1,1,1,1,"111,596"
,,Walnut Creek,2,2,1,0,0,0,1,2,1,1,"70,546"
,,West Hollywood,0,1,0,0,0,0,1,0,0,0,"37,173"
,,Westminster,2,1,0,0,0,0,2,,0,1,"91,086"
,,Whittier,0,0,1,0,0,0,0,,0,1,"86,158"
,,Windsor,1,0,0,0,0,0,1,0,0,0,"27,981"
